@relation data30.train-weka.filters.unsupervised.attribute.Remove-R1

@attribute left_eye_center_x numeric
@attribute left_eye_center_y numeric
@attribute right_eye_center_x numeric
@attribute right_eye_center_y numeric
@attribute left_eye_inner_corner_x numeric
@attribute left_eye_inner_corner_y numeric
@attribute left_eye_outer_corner_x numeric
@attribute left_eye_outer_corner_y numeric
@attribute right_eye_inner_corner_x numeric
@attribute right_eye_inner_corner_y numeric
@attribute right_eye_outer_corner_x numeric
@attribute right_eye_outer_corner_y numeric
@attribute left_eyebrow_inner_end_x numeric
@attribute left_eyebrow_inner_end_y numeric
@attribute left_eyebrow_outer_end_x numeric
@attribute left_eyebrow_outer_end_y numeric
@attribute right_eyebrow_inner_end_x numeric
@attribute right_eyebrow_inner_end_y numeric
@attribute right_eyebrow_outer_end_x numeric
@attribute right_eyebrow_outer_end_y numeric
@attribute nose_tip_x numeric
@attribute nose_tip_y numeric
@attribute mouth_left_corner_x numeric
@attribute mouth_left_corner_y numeric
@attribute mouth_right_corner_x numeric
@attribute mouth_right_corner_y numeric
@attribute mouth_center_top_lip_x numeric
@attribute mouth_center_top_lip_y numeric
@attribute mouth_center_bottom_lip_x numeric
@attribute mouth_center_bottom_lip_y numeric

@data
66.033564,39.002274,30.227008,36.421678,59.582075,39.647423,73.130346,39.969997,36.356571,37.389401,23.452872,37.389401,56.953263,29.033648,80.227128,32.228138,40.227609,29.002322,16.356379,29.647471,44.420571,57.066803,61.195308,79.970165,28.614496,77.388992,43.312601,72.935459,43.130707,84.485774
64.332936,34.970077,29.949277,33.448715,58.85617,35.274349,70.722723,36.187166,36.034723,34.361532,24.472511,33.144443,53.987404,28.275949,78.634213,30.405923,42.728851,26.146043,16.865362,27.05886,48.206298,55.660936,56.421447,76.352,35.122383,76.04766,46.684596,70.266553,45.467915,85.48017
65.057053,34.909642,30.903789,34.909642,59.412,36.320968,70.984421,36.320968,37.678105,36.320968,24.976421,36.603221,55.742526,27.570947,78.887368,32.651621,42.193895,28.135453,16.791158,32.087116,47.557263,53.538947,60.822947,73.014316,33.726316,72.732,47.274947,70.191789,47.274947,78.659368
66.725301,39.621261,32.24481,38.042032,58.56589,39.621261,72.515926,39.884466,36.98238,39.094852,22.50611,38.305237,57.249571,30.672177,77.762945,31.737247,38.035436,30.935382,15.92587,30.672177,43.299534,64.889521,60.671411,77.523239,31.191755,76.997301,44.962748,73.707386,44.227141,86.871166
69.680748,39.968748,29.183551,37.563364,62.864299,40.169271,76.898243,41.171888,36.401047,39.367626,21.765533,38.565533,59.76628,31.65129,83.313645,35.358056,39.408,30.546393,14.949084,32.150131,52.468486,58.8,64.869084,82.471178,31.99043,81.669084,49.308112,78.487626,49.432374,93.898766
67.468893,39.413452,29.355961,39.621716,59.554951,40.454773,75.591612,40.038245,37.478214,40.454773,21.025398,40.038245,56.014136,27.333903,84.130485,31.291014,39.769165,26.917375,11.861592,31.915806,47.891883,56.907961,66.843961,80.025786,30.189204,81.275184,48.100194,71.278602,48.516816,91.063922
65.80288,34.7552,27.47584,36.1856,58.65216,37.32928,72.95296,35.89952,36.3424,37.0432,20.32512,37.61536,57.50784,25.0304,79.2736,28.63424,36.3424,26.17472,12.88896,31.32288,48.06976,55.34848,65.5168,73.36832,31.19424,74.79808,49.21344,67.648,49.49952,83.09312
64.121231,36.740308,29.468923,38.390154,58.620923,37.840615,71.272,37.290338,36.344615,39.490462,22.868308,40.040615,56.971077,28.489723,75.947077,29.589785,36.619077,29.314769,16.817846,33.990154,48.995077,54.341538,65.771692,69.192615,32.769231,72.217846,49.270154,67.542769,49.545231,76.893538
65.230189,34.342642,28.802717,33.937811,58.753811,35.557132,70.08634,35.557132,34.469434,35.152302,24.350491,35.557132,53.896755,28.271094,76.157887,28.271094,38.51683,26.247849,16.660528,27.86717,47.421283,51.746717,57.134491,71.579774,34.064604,70.770113,46.469434,65.260075,46.206792,81.697811
66.7376,39.8864,30.2704,38.8144,61.0176,39.8864,73.1736,41.3168,36.348,39.8864,24.9072,39.5288,55.6544,29.876,81.0392,35.596,44.2136,29.1608,15.612,34.1664,48.504,56.6904,61.7328,82.432,33.488,81.36,48.504,72.7792,47.7888,94.588
66.607158,38.938105,28.596211,36.303158,61.714526,38.938105,73.004632,40.442947,34.618105,37.432421,22.574316,37.432421,56.821895,30.658526,78.650105,31.786947,37.252211,29.529263,16.553263,28.023579,47.036632,54.368,61.338105,76.195368,31.230316,74.314105,45.531789,70.550737,44.778947,84.474947
68.491294,35.900235,27.831216,37.022118,62.322196,36.180706,74.379922,37.302588,34.841725,37.022118,21.381647,38.424471,57.835294,26.086086,81.389804,26.92731,38.206118,26.92731,13.530353,30.572549,50.264471,56.651294,64.004392,79.364392,36.523922,77.962667,49.703529,71.232627,49.423059,85.813961
67.839508,38.597908,28.016738,36.397735,60.139323,39.697969,76.860554,40.358006,38.357662,38.377895,20.536123,37.057772,57.719138,27.377083,85.881108,34.197563,41.437538,24.516874,13.275569,26.497034,48.0384,54.879015,66.519631,78.8608,27.796677,77.540923,47.158154,70.500431,46.277908,88.981662
69.233455,40.021527,25.550836,38.071855,60.262691,40.021527,76.254545,40.411636,33.351273,38.461964,17.749527,38.852073,59.483345,28.320873,83.3376,33.287564,35.300945,25.981091,11.899636,28.320873,45.832145,60.302836,62.213236,81.364364,29.451055,81.364364,46.612364,76.6848,45.832145,93.456
64.762466,34.933389,31.859729,37.191483,59.924211,35.901113,70.569383,35.255964,37.988571,37.514057,27.343398,38.48178,55.085233,30.417275,74.851128,27.592854,37.665925,32.030147,19.42015,34.333642,49.924331,54.288217,63.472602,72.997534,40.246376,74.28812,50.246977,69.449143,52.182135,83.32006
66.082737,37.153705,27.978316,37.435958,59.873053,38.282779,72.574737,38.847284,34.470316,38.282779,21.768632,38.565032,56.768211,28.403747,78.502105,28.686,35.034316,28.121495,14.712,30.661768,47.736,52.960421,62.977895,77.798526,35.881263,78.363158,48.018316,70.177895,48.865263,84.572842
64.718582,35.861225,31.590684,39.119392,59.287899,37.761965,71.235646,36.132759,37.564557,39.119392,24.802025,40.205772,56.843544,27.715078,76.394734,28.801215,37.836152,29.615818,17.74238,35.318157,51.141266,54.325671,66.075949,68.988759,36.478177,71.704101,51.412861,66.545013,51.684456,76.049013
66.334316,33.721263,29.077053,34.097684,59.936842,34.849684,71.603368,34.474105,35.850947,34.849684,23.808,35.602526,59.560421,22.0544,79.130105,25.065179,41.12,24.688842,14.022737,28.828632,49.750737,52.885053,61.442526,73.613474,39.237895,72.860632,50.151579,67.591579,49.776,83.022316
65.3184,35.2704,30.309581,38.702592,60.170496,36.29952,71.153664,33.55392,35.457946,38.702592,24.131482,39.045888,55.708416,31.151616,74.24256,23.943936,37.174042,31.838208,15.872794,32.312064,50.216448,63.757824,66.691584,73.368576,37.174042,77.829888,50.559744,70.965504,51.932928,81.948672
65.45941,38.908564,32.05141,39.260223,59.832393,39.611882,71.085639,39.611882,37.325902,39.611882,25.017443,39.611882,55.964066,31.171987,76.464787,31.729495,39.436328,30.820249,18.336,33.281941,47.172984,59.30518,60.887607,79.702033,32.05141,79.350295,46.821246,71.613639,47.172984,93.064918
65.376914,38.128914,29.215543,39.558857,58.430629,39.354514,72.118857,38.741486,35.957486,39.967543,22.064914,40.376229,54.752914,27.70944,80.290743,28.730926,38.2048,28.118034,13.075657,31.182537,46.172343,55.903086,63.537829,78.784457,33.301486,80.010514,47.194057,70.816914,48.215314,90.021029
72.353185,34.417067,28.655407,32.82803,63.878519,34.946726,78.97363,36.006044,35.540741,33.357689,20.975407,33.887348,57.787259,27.001659,87.184,28.590696,39.248593,26.472,14.619259,25.412681,44.016,53.220267,66.526815,78.644148,30.509037,77.320296,45.86963,74.936889,46.399407,88.708148
